accessionId,reportedTrait,discoverySampleAncestry,summaryStatistics,pubmedId,initialSampleDescription
GCST90032235,Blautia A sp900066355 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032235,35115689,"5,959 Finnish ancestry individuals"
GCST90032236,Blautia hansenii abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032236,35115689,"5,959 Finnish ancestry individuals"
GCST90032237,Blautia sp000436935 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032237,35115689,"5,959 Finnish ancestry individuals"
GCST90032238,Blautia sp001304935 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032238,35115689,"5,959 Finnish ancestry individuals"
GCST90032239,Borreliaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032239,35115689,"5,959 Finnish ancestry individuals"
GCST90032240,Borreliales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032240,35115689,"5,959 Finnish ancestry individuals"
GCST90032241,Brachyspiraceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032241,35115689,"5,959 Finnish ancestry individuals"
GCST90032242,Brachyspirae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032242,35115689,"5,959 Finnish ancestry individuals"
GCST90032243,Brachyspirales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032243,35115689,"5,959 Finnish ancestry individuals"
GCST90032244,Brachyspira abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032244,35115689,"5,959 Finnish ancestry individuals"
GCST90032245,Brevibacillaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032245,35115689,"5,959 Finnish ancestry individuals"
GCST90032246,Brevibacillales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032246,35115689,"5,959 Finnish ancestry individuals"
GCST90032247,Brevibacillus B abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032247,35115689,"5,959 Finnish ancestry individuals"
GCST90032248,Butyricimonas sp900258545 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032248,35115689,"5,959 Finnish ancestry individuals"
